doc_id,rouge1,rouge2,rougeL
N13-1090,0.19830028328611898,0.02279202279202279,0.141643059490085
P00-1010,0.302158273381295,0.058394160583941604,0.14388489208633093
P00-1016,0.16560509554140126,0.012903225806451611,0.12738853503184716
P00-1027,0.11952191235059761,0.024096385542168676,0.0796812749003984
P00-1037,0.20224719101123598,0.06792452830188679,0.1348314606741573
P00-1041,0.16463414634146342,0.024539877300613498,0.12195121951219513
P00-1056,0.2057877813504823,0.038834951456310676,0.14790996784565916
P00-1058,0.05982905982905983,0.0,0.05128205128205128
P00-1065,0.14349775784753363,0.05429864253393665,0.11659192825112105
P00-1071,0.08695652173913043,0.0,0.06956521739130433
P01-1005,0.33513513513513515,0.08743169398907104,0.18378378378378377
P01-1008,0.30612244897959184,0.0625,0.16326530612244897
P01-1017,0.24347826086956523,0.017467248908296942,0.17826086956521742
P01-1019,0.17391304347826086,0.0,0.12422360248447205
P01-1025,0.1444043321299639,0.050909090909090904,0.12996389891696752
P01-1030,0.1935483870967742,0.025974025974025972,0.1290322580645161
P01-1064,0.31034482758620696,0.08771929824561403,0.22413793103448276
