doc_id,rouge1,rouge2,rougeL
P06-1014,0.26,0.10204081632653061,0.21999999999999997
P06-1015,0.1672473867595819,0.03508771929824561,0.13937282229965156
P06-1032,0.17663817663817663,0.0057306590257879654,0.14245014245014245
P06-1038,0.14696485623003197,0.03215434083601287,0.09584664536741215
P06-1043,0.21662468513853902,0.030379746835443037,0.16624685138539042
P06-1055,0.12941176470588234,0.023668639053254437,0.12352941176470587
P06-1066,0.16479400749063672,0.03773584905660377,0.10486891385767791
P06-1067,0.23529411764705885,0.0975609756097561,0.17301038062283738
P06-1072,0.169811320754717,0.0,0.09433962264150944
P06-1077,0.26573426573426573,0.021126760563380285,0.20979020979020976
P06-1084,0.22784810126582278,0.025477707006369425,0.13291139240506328
P06-1085,0.327683615819209,0.034285714285714294,0.1581920903954802
P06-1091,0.17777777777777778,0.04494382022471911,0.1333333333333333
P06-1095,0.282442748091603,0.11538461538461539,0.19847328244274806
P06-1097,0.2518518518518519,0.045112781954887216,0.16296296296296298
P06-1101,0.22674418604651161,0.011695906432748537,0.1686046511627907
P06-1103,0.2857142857142857,0.06629834254143646,0.19230769230769232
P06-1104,0.29971181556195964,0.10434782608695653,0.23631123919308356
P06-1109,0.20987654320987653,0.012422360248447204,0.1419753086419753
P06-1114,0.30379746835443033,0.038461538461538464,0.15189873417721517
P06-1115,0.15311004784688997,0.028985507246376812,0.09569377990430622
P06-1121,0.2815533980582524,0.0392156862745098,0.13592233009708735
P06-1123,0.1216216216216216,0.0,0.10135135135135134
P06-1124,0.2197802197802198,0.05904059040590406,0.11721611721611722
P06-1134,0.13333333333333333,0.015810276679841896,0.10196078431372549
P06-2005,0.032520325203252036,0.0,0.024390243902439025
P06-2006,0.16300940438871475,0.044164037854889586,0.13793103448275862
P06-2014,0.14840989399293286,0.007117437722419929,0.12014134275618372
P06-2066,0.26938775510204077,0.01646090534979424,0.16326530612244897
P06-2094,0.15384615384615385,0.020202020202020204,0.10702341137123747
P06-2101,0.15578947368421053,0.004219409282700422,0.09263157894736843
P06-3002,0.08024691358024691,0.0,0.05555555555555556
P06-4020,0.09523809523809523,0.008733624454148471,0.060606060606060594
P07-1003,0.11805555555555555,0.0,0.11805555555555555
